,mort,GDPc,clusters,index,res,Country,ISO-code
55,1.39,49548.0,2,0.6842523848037199,0.02896257392919689,Finland,FIN
56,2.65,48640.0,2,0.6780170154020395,5.646932861459531e-05,France,FRA
57,20.25,19839.0,3,0.311453266892522,0.1326975572427388,Gabon,GAB
58,4.88,13200.0,1,0.5057033979375429,0.045856879082086,Georgia,GEO
59,2.27,55306.0,2,0.7121254344343227,0.0035867502480913895,Germany,DEU
60,23.13,7343.0,3,0.2664321640906902,0.026701634908045307,Ghana,GHA
61,2.26,31616.0,1,0.594823987893812,0.032478182208999395,Greece,GRC
62,11.0,17434.0,1,0.44702569642485557,0.06974553305348868,Grenada,GRD
63,12.17,9009.0,1,0.4156635497525393,0.006669418275719164,Guatemala,GTM
64,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
65,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
66,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
67,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
68,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
69,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
70,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
71,30.37,2574.0,0,0.1675034837346579,0.007070925578608716,Guinea,GIN
72,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
73,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
74,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
75,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
76,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
77,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
78,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
79,30.37,2113.0,0,0.16741307889401985,0.011193833039160881,Guinea,GIN
